text,label
"Ωραία μέρα σήμερα",1
"Σήμερα είναι Τετάρτη",2
"Η Μαρία είναι στην αυλή",2
"Του έφαγες τα λεφτά και τώρα δεν ξέρει τι να κάνει",0
"Το κατάστημα ήταν κλειστό πάλι",0
"Δεν πήγα σήμερα στη δουλειά,ήμουν άρρωστη",0
"Δεν είχα καθόλου όρεξη για κουβέντα",0
"Η παράσταση ήταν μαγευτική,θέλω τον άλλο μήνα να ξανά έρθω",1
"Η τράπεζα με καθυστέρησε χωρίς λόγο",0
"Η γάτα μου δεν ήθελε να φάει σήμερα,κοιμόταν όλη μέρα",2
"Ο ήχος ήταν εκνευριστικά δυνατός",0
"Δεν μπορώ να αποφασίσω τι θέλω να κάνω",2
"Θα βρέξει αύριo?",2
"Δεν θα ξυπνήσω τη Σοφία νωρίς",2
"Περίμενα περισσότερα, ειλικρινά απογοητεύτηκα.",0
"Η συνέντευξη πήγε καλύτερα απ’ όσο νόμιζα",1
"Δεν βρήκα τίποτα ενδιαφέρον στις αγγελίες",0
"Το παιδί γελούσε όλη μέρα",1
"Ήταν απλώς μια συνηθισμένη μέρα",2
"Η βροχή δυναμώνει σιγά σιγά",2
"Το φαγητό είχε ωραία μυρωδιά αλλά δεν τρωγόταν",0
"Περάσαμε υπέροχα χθες!",1
"Αρκετά μέτρια πιάτα, τίποτα το ιδιαίτερο",2
"Το πρόγραμμα κόλλησε πάλι!",0
"Ένιωσα όμορφα που το τελείωσα.",1
"Ο υπολογιστής κάνει έναν περίεργο θόρυβο",0
"Καταπληκτικό αποτέλεσμα, δεν το περίμενα!",1
"Η εξυπηρέτηση ήταν απογοητευτική.",0
"Απλώς χαμογέλασα και έφυγα.",2
"Η εμπειρία ήταν όμορφη από την αρχή ως το τέλος.",1
"Ήταν εντάξει, όχι κάτι φοβερό.",2
"Πόσο μου έλειψε το σπίτι μου!",1
"Η θεατρική παράσταση κράτησε υπερβολικά πολύ",0
"Πολύ φιλικό προσωπικό!",1
"Καμία ενημέρωση για την παραγγελία, απογοήτευση.",0
"Η μουσική ήταν δυνατή, αλλά του γούστου μου.",1
"Αργήσαμε λίγο, αλλά όλα πήγαν καλά.",1
"Η εξυπηρέτηση ήταν αγενής, δυστυχώς.",0
"Κοιμήθηκα αργά, αλλά ξύπνησα ξεκούραστη.",1
"Με πλήγωσαν τα λόγια της.",0
"Ήταν απαράδεκτη η συμπεριφορά του.",0
"Δεν έβαλε καθόλου νερό στο κρασί του, ίσως για αυτό έγιναν έτσι τα πράγματα.",0
"Αν και δυσκολεύτηκα, τα κατάφερα.",1
"Δεν ήταν τόσο κακό όσο λένε.",2
"Έφαγε πόρτα από την αδελφή του και έτσι άλλαξε τα σχέδιά του",0
"Το βιβλίο ήταν ενδιαφέρον",1
"Ήταν ωραίο να περπατάς στο κρύο.",1
"Το φαγητό ήταν χλιαρό και άνοστο.",0
"Πέρασα ήσυχα, τίποτα σπουδαίο.",0
"Το πάρτι ήταν φανταστικό!",1
"Δεν ήταν τέλειο, αλλά μου άρεσε",1
"Περίεργη ατμόσφαιρα, δεν ένιωσα άνετα.",0
"Τίποτα δεν άλλαξε από χθες.",2
"Είχε πλάκα, αν και λίγο βαρετό στο τέλος",1
"Δεν είχα δίκιο, αλλά το προσπάθησα",2
"Χάρηκα πολύ που το άκουσα!",1
"Δεν ήταν και η καλύτερη μέρα μου",0
"Ο σκύλος ήταν χαρούμενος όλη μέρα",1
"Πολύς θόρυβος για το τίποτα",0
"Ήθελα να φύγω από την αρχή.",0
"Είμαι περήφανη για εσένα",1
"Τουλάχιστον προσπάθησες.",1
"Δεν κατάλαβα τι εννοούσε",2
